cbsa_code,metro_name,rpp
19740,"Denver-Aurora-Centennial, CO (Metropolitan Statistical Area)",105.782
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",91.701
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",100.298
20020,"Dothan, AL (Metropolitan Statistical Area)",83.833
20100,"Dover, DE (Metropolitan Statistical Area)",97.507
20220,"Dubuque, IA (Metropolitan Statistical Area)",87.328
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",88.768
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",97.572
20580,"Eagle Pass, TX (Metropolitan Statistical Area)",83.805
20740,"Eau Claire, WI (Metropolitan Statistical Area)",92.796
20940,"El Centro, CA (Metropolitan Statistical Area)",95.174
21060,"Elizabethtown, KY (Metropolitan Statistical Area)",90.572
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",90.325
21300,"Elmira, NY (Metropolitan Statistical Area)",94.398
21340,"El Paso, TX (Metropolitan Statistical Area)",89.912
21420,"Enid, OK (Metropolitan Statistical Area) *",84.269
21500,"Erie, PA (Metropolitan Statistical Area)",90.950
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",101.568
21780,"Evansville, IN (Metropolitan Statistical Area)",91.528
21820,"Fairbanks-College, AK (Metropolitan Statistical Area)",103.208
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",90.871
22140,"Farmington, NM (Metropolitan Statistical Area)",87.707
22180,"Fayetteville, NC (Metropolitan Statistical Area)",91.978
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",91.353
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",100.325
22420,"Flint, MI (Metropolitan Statistical Area)",93.034
22500,"Florence, SC (Metropolitan Statistical Area)",86.774
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",84.817
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",91.643
22660,"Fort Collins-Loveland, CO (Metropolitan Statistical Area)",101.128
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",85.888
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",92.572
23420,"Fresno, CA (Metropolitan Statistical Area)",102.158
23460,"Gadsden, AL (Metropolitan Statistical Area)",85.653
23540,"Gainesville, FL (Metropolitan Statistical Area)",96.733
23580,"Gainesville, GA (Metropolitan Statistical Area)",96.766
23900,"Gettysburg, PA (Metropolitan Statistical Area)",95.379
24020,"Glens Falls, NY (Metropolitan Statistical Area)",94.866
24140,"Goldsboro, NC (Metropolitan Statistical Area)",88.462
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",86.663
24260,"Grand Island, NE (Metropolitan Statistical Area)",86.657
24300,"Grand Junction, CO (Metropolitan Statistical Area)",95.476
24340,"Grand Rapids-Wyoming-Kentwood, MI (Metropolitan Statistical Area)",95.546
24420,"Grants Pass, OR (Metropolitan Statistical Area)",97.760
24500,"Great Falls, MT (Metropolitan Statistical Area)",96.845
24540,"Greeley, CO (Metropolitan Statistical Area)",100.176
24580,"Green Bay, WI (Metropolitan Statistical Area)",93.086
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",92.865
24780,"Greenville, NC (Metropolitan Statistical Area)",88.402
24860,"Greenville-Anderson-Greer, SC (Metropolitan Statistical Area)",93.260
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",90.006
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",94.171
25220,"Hammond, LA (Metropolitan Statistical Area)",84.460
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",101.612
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",98.650
25500,"Harrisonburg, VA (Metropolitan Statistical Area)",94.892
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",102.746
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",87.633
25740,"Helena, MT (Metropolitan Statistical Area)",95.675
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",88.486
25940,"Hilton Head Island-Bluffton-Port Royal, SC (Metropolitan Statistical Area)",98.017
25980,"Hinesville, GA (Metropolitan Statistical Area)",93.933
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",93.467
26300,"Hot Springs, AR (Metropolitan Statistical Area)",85.730
26380,"Houma-Bayou Cane-Thibodaux, LA (Metropolitan Statistical Area)",85.103
26420,"Houston-Pasadena-The Woodlands, TX (Metropolitan Statistical Area)",98.629
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",88.422
26620,"Huntsville, AL (Metropolitan Statistical Area)",93.072
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",94.412
26900,"Indianapolis-Carmel-Greenwood, IN (Metropolitan Statistical Area)",95.696
26980,"Iowa City, IA (Metropolitan Statistical Area)",91.509
27060,"Ithaca, NY (Metropolitan Statistical Area)",103.317
27100,"Jackson, MI (Metropolitan Statistical Area)",91.779
27140,"Jackson, MS (Metropolitan Statistical Area)",89.048
27180,"Jackson, TN (Metropolitan Statistical Area)",85.522
27260,"Jacksonville, FL (Metropolitan Statistical Area)",99.484
27340,"Jacksonville, NC (Metropolitan Statistical Area)",92.085
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",93.703
27620,"Jefferson City, MO (Metropolitan Statistical Area)",87.975
27740,"Johnson City, TN (Metropolitan Statistical Area)",87.928
27780,"Johnstown, PA (Metropolitan Statistical Area)",85.929
27860,"Jonesboro, AR (Metropolitan Statistical Area)",85.876
27900,"Joplin, MO-KS (Metropolitan Statistical Area)",85.718
27980,"Kahului-Wailuku, HI (Metropolitan Statistical Area)",109.393
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",94.840
