metro_name,bachelors_or_higher_pct,cbsa_code
"Gadsden, AL Metro Area",18.1,23460
"Gainesville, FL Metro Area",41.8,23540
"Gainesville, GA Metro Area",27.3,23580
"Gettysburg, PA Metro Area",25.8,23900
"Glens Falls, NY Metro Area",29.7,24020
"Goldsboro, NC Metro Area",21.7,24140
"Grand Forks, ND-MN Metro Area",34.8,24220
"Grand Island, NE Metro Area",21.5,24260
"Grand Junction, CO Metro Area",32.3,24300
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",36.5,24340
"Grants Pass, OR Metro Area",19.7,24420
"Great Falls, MT Metro Area",28.4,24500
"Greeley, CO Metro Area",33.2,24540
"Green Bay, WI Metro Area",30.9,24580
"Greensboro-High Point, NC Metro Area",32.2,24660
"Greenville, NC Metro Area",33.8,24780
"Greenville-Anderson-Greer, SC Metro Area",34.6,24860
"Guayama, PR Metro Area",24.5,25020
"Gulfport-Biloxi, MS Metro Area",26.7,25060
"Hagerstown-Martinsburg, MD-WV Metro Area",24.2,25180
"Hammond, LA Metro Area",20.8,25220
"Hanford-Corcoran, CA Metro Area",13.6,25260
"Harrisburg-Carlisle, PA Metro Area",35.8,25420
"Harrisonburg, VA Metro Area",31.6,25500
"Hartford-West Hartford-East Hartford, CT Metro Area",42.7,25540
"Hattiesburg, MS Metro Area",30.9,25620
"Helena, MT Metro Area",40.2,25740
"Hickory-Lenoir-Morganton, NC Metro Area",22.3,25860
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",43.1,25940
"Hinesville, GA Metro Area",18.8,25980
"Homosassa Springs, FL Metro Area",20.6,26140
"Hot Springs, AR Metro Area",25.3,26300
"Houma-Bayou Cane-Thibodaux, LA Metro Area",19.9,26380
"Houston-Pasadena-The Woodlands, TX Metro Area",36.0,26420
"Huntington-Ashland, WV-KY-OH Metro Area",23.5,26580
"Huntsville, AL Metro Area",42.9,26620
"Idaho Falls, ID Metro Area",31.7,26820
"Indianapolis-Carmel-Greenwood, IN Metro Area",38.5,26900
"Iowa City, IA Metro Area",51.1,26980
"Ithaca, NY Metro Area",58.8,27060
"Jackson, MI Metro Area",23.4,27100
"Jackson, MS Metro Area",32.2,27140
"Jackson, TN Metro Area",23.7,27180
"Jacksonville, FL Metro Area",36.5,27260
"Jacksonville, NC Metro Area",26.0,27340
"Janesville-Beloit, WI Metro Area",25.8,27500
"Jefferson City, MO Metro Area",31.1,27620
"Johnson City, TN Metro Area",29.3,27740
"Johnstown, PA Metro Area",23.9,27780
"Jonesboro, AR Metro Area",26.5,27860
"Joplin, MO-KS Metro Area",24.2,27900
"Kahului-Wailuku, HI Metro Area",31.0,27980
"Kalamazoo-Portage, MI Metro Area",41.3,28020
"Kankakee, IL Metro Area",21.2,28100
"Kansas City, MO-KS Metro Area",39.8,28140
"Kennewick-Richland, WA Metro Area",29.6,28420
"Kenosha, WI Metro Area",31.2,28450
"Killeen-Temple, TX Metro Area",25.6,28660
"Kingsport-Bristol, TN-VA Metro Area",23.9,28700
"Kingston, NY Metro Area",38.2,28740
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",36.6,28880
"Knoxville, TN Metro Area",32.7,28940
"Kokomo, IN Metro Area",20.8,29020
"La Crosse-Onalaska, WI-MN Metro Area",33.6,29100
"Lafayette, LA Metro Area",27.6,29180
"Lafayette-West Lafayette, IN Metro Area",36.0,29200
"Lake Charles, LA Metro Area",23.4,29340
"Lake Havasu City-Kingman, AZ Metro Area",15.2,29420
"Lakeland-Winter Haven, FL Metro Area",23.5,29460
"Lancaster, PA Metro Area",32.4,29540
"Lansing-East Lansing, MI Metro Area",37.5,29620
"Laredo, TX Metro Area",21.4,29700
"Las Cruces, NM Metro Area",31.7,29740
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",27.8,29820
"Lawrence, KS Metro Area",53.2,29940
"Lawton, OK Metro Area",24.2,30020
"Lebanon, PA Metro Area",24.3,30140
"Lewiston, ID-WA Metro Area",26.3,30300
"Lewiston-Auburn, ME Metro Area",23.4,30340
"Lexington-Fayette, KY Metro Area",42.0,30460
"Lexington Park, MD Metro Area",36.7,30500
"Lima, OH Metro Area",20.1,30620
"Lincoln, NE Metro Area",41.4,30700
"Little Rock-North Little Rock-Conway, AR Metro Area",33.7,30780
"Logan, UT-ID Metro Area",40.2,30860
"Longview, TX Metro Area",21.1,30980
"Longview-Kelso, WA Metro Area",17.6,31020
"Los Angeles-Long Beach-Anaheim, CA Metro Area",38.0,31080
"Louisville/Jefferson County, KY-IN Metro Area",32.9,31140
"Lubbock, TX Metro Area",31.6,31180
"Lynchburg, VA Metro Area",31.1,31340
"Macon-Bibb County, GA Metro Area",24.3,31420
"Madison, WI Metro Area",50.1,31540
"Manchester-Nashua, NH Metro Area",41.5,31700
"Manhattan, KS Metro Area",40.4,31740
"Mankato, MN Metro Area",34.8,31860
"Mansfield, OH Metro Area",17.9,31900
"Mayagüez, PR Metro Area",27.4,32420
"McAllen-Edinburg-Mission, TX Metro Area",20.6,32580
"Medford, OR Metro Area",31.7,32780
"Memphis, TN-MS-AR Metro Area",31.0,32820
"Merced, CA Metro Area",15.3,32900
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",36.7,33100
"Michigan City-La Porte, IN Metro Area",22.7,33140
"Midland, MI Metro Area",36.6,33220
"Midland, TX Metro Area",30.7,33260
"Milwaukee-Waukesha, WI Metro Area",39.6,33340
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.4,33460
"Minot, ND Metro Area",28.6,33500
"Missoula, MT Metro Area",46.5,33540
"Mobile, AL Metro Area",26.0,33660
"Modesto, CA Metro Area",19.6,33700
"Monroe, LA Metro Area",24.6,33740
"Monroe, MI Metro Area",23.3,33780
"Montgomery, AL Metro Area",30.9,33860
"Morgantown, WV Metro Area",40.1,34060
"Morristown, TN Metro Area",20.4,34100
"Mount Vernon-Anacortes, WA Metro Area",30.2,34580
"Muncie, IN Metro Area",26.2,34620
"Muskegon-Norton Shores, MI Metro Area",21.3,34740
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",27.1,34820
"Napa, CA Metro Area",39.8,34900
"Naples-Marco Island, FL Metro Area",40.3,34940
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",40.9,34980
"New Haven, CT Metro Area",42.0,35300
"New Orleans-Metairie, LA Metro Area",33.4,35380
"New York-Newark-Jersey City, NY-NJ Metro Area",44.2,35620
"Niles, MI Metro Area",30.9,35660
"North Port-Bradenton-Sarasota, FL Metro Area",38.3,35840
"Norwich-New London-Willimantic, CT Metro Area",35.8,35980
"Ocala, FL Metro Area",23.4,36100
"Odessa, TX Metro Area",17.6,36220
"Ogden, UT Metro Area",34.7,36260
"Oklahoma City, OK Metro Area",34.1,36420
"Olympia-Lacey-Tumwater, WA Metro Area",38.5,36500
"Omaha, NE-IA Metro Area",39.3,36540
"Orlando-Kissimmee-Sanford, FL Metro Area",36.7,36740
"Oshkosh-Neenah, WI Metro Area",31.1,36780
"Owensboro, KY Metro Area",25.5,36980
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",36.1,37100
"Paducah, KY-IL Metro Area",24.7,37140
"Palm Bay-Melbourne-Titusville, FL Metro Area",34.2,37340
"Panama City-Panama City Beach, FL Metro Area",27.4,37460
"Parkersburg-Vienna, WV Metro Area",23.6,37620
"Pensacola-Ferry Pass-Brent, FL Metro Area",30.6,37860
"Peoria, IL Metro Area",31.8,37900
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42.2,37980
"Phoenix-Mesa-Chandler, AZ Metro Area",35.3,38060
"Pinehurst-Southern Pines, NC Metro Area",41.0,38240
"Pittsburgh, PA Metro Area",38.2,38300
"Pittsfield, MA Metro Area",40.0,38340
"Pocatello, ID Metro Area",30.6,38540
