cbsa_code,metro_name,employment,median_wage
25060,"Gulfport-Biloxi, MS",158310,43470
25180,"Hagerstown-Martinsburg, MD-WV",107170,47440
25220,"Hammond, LA",47820,38480
25260,"Hanford-Corcoran, CA",48820,48470
25420,"Harrisburg-Carlisle, PA",335010,49610
25500,"Harrisonburg, VA",65460,46110
25540,"Hartford-West Hartford-East Hartford, CT",599770,59940
25620,"Hattiesburg, MS",62230,37750
25740,"Helena, MT",44420,55040
25860,"Hickory-Lenoir-Morganton, NC",154090,45220
25940,"Hilton Head Island-Bluffton-Port Royal, SC",81920,43850
25980,"Hinesville, GA",20330,46670
26140,"Homosassa Springs, FL",35580,41360
26300,"Hot Springs, AR",38600,36540
26380,"Houma-Bayou Cane-Thibodaux, LA",83440,45610
26420,"Houston-Pasadena-The Woodlands, TX",3289720,49410
26580,"Huntington-Ashland, WV-KY-OH",140740,44600
26620,"Huntsville, AL",266650,51740
26820,"Idaho Falls, ID",81840,46800
26900,"Indianapolis-Carmel-Greenwood, IN",1105170,49340
26980,"Iowa City, IA",93760,50060
27060,"Ithaca, NY",47980,58130
27100,"Jackson, MI",55930,47760
27140,"Jackson, MS",270730,42850
27180,"Jackson, TN",84530,44790
27260,"Jacksonville, FL",765930,48830
27340,"Jacksonville, NC",52570,40230
27500,"Janesville-Beloit, WI",69870,48390
27620,"Jefferson City, MO",80220,48030
27740,"Johnson City, TN",81690,43480
27780,"Johnstown, PA",47810,44110
27860,"Jonesboro, AR",60620,42240
27900,"Joplin, MO-KS",87190,44980
27980,"Kahului-Wailuku, HI",73750,57640
28020,"Kalamazoo-Portage, MI",121790,48510
28100,"Kankakee, IL",42340,45830
28140,"Kansas City, MO-KS",1096110,50820
28420,"Kennewick-Richland, WA",129490,57290
28450,"Kenosha, WI",75450,48310
28660,"Killeen-Temple, TX",150580,46660
28700,"Kingsport-Bristol, TN-VA",119560,45240
28740,"Kingston, NY",59140,50020
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",268970,50990
28940,"Knoxville, TN",424600,47080
29020,"Kokomo, IN",35500,48980
29100,"La Crosse-Onalaska, WI-MN",84380,48260
29180,"Lafayette, LA",179570,41780
29200,"Lafayette-West Lafayette, IN",102200,48780
29340,"Lake Charles, LA",101690,45700
29420,"Lake Havasu City-Kingman, AZ",56490,44230
29460,"Lakeland-Winter Haven, FL",265280,46140
29540,"Lancaster, PA",252230,48210
29620,"Lansing-East Lansing, MI",217180,52800
29700,"Laredo, TX",109370,37250
29740,"Las Cruces, NM",80000,42070
29820,"Las Vegas-Henderson-North Las Vegas, NV",1136960,46670
29940,"Lawrence, KS",51750,47390
30020,"Lawton, OK",42810,42090
30140,"Lebanon, PA",53710,46500
30300,"Lewiston, ID-WA",28680,48300
30340,"Lewiston-Auburn, ME",47660,49540
30460,"Lexington-Fayette, KY",286910,48620
30500,"Lexington Park, MD",70650,63990
30620,"Lima, OH",49950,47170
30700,"Lincoln, NE",182620,49800
30780,"Little Rock-North Little Rock-Conway, AR",358210,45790
30860,"Logan, UT-ID",66800,46360
30980,"Longview, TX",118060,45150
31020,"Longview-Kelso, WA",41070,57420
31080,"Los Angeles-Long Beach-Anaheim, CA",6271560,55850
31140,"Louisville/Jefferson County, KY-IN",685190,48370
31180,"Lubbock, TX",166780,42130
31340,"Lynchburg, VA",97190,46190
31420,"Macon-Bibb County, GA",95030,45160
31540,"Madison, WI",408070,58080
31700,"Manchester-Nashua, NH",199560,56530
31740,"Manhattan, KS",53500,45900
31860,"Mankato, MN",56180,49530
31900,"Mansfield, OH",48770,44700
32420,"Mayaguez, PR",52110,25270
32580,"McAllen-Edinburg-Mission, TX",296700,35830
32780,"Medford, OR",89060,49900
32820,"Memphis, TN-MS-AR",611670,46890
32900,"Merced, CA",79510,47220
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2819940,48640
33140,"Michigan City-La Porte, IN",40840,45540
33220,"Midland, MI",37300,49340
33260,"Midland, TX",122180,54480
33340,"Milwaukee-Waukesha, WI",820780,51160
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1951650,59320
33500,"Minot, ND",33260,48940
33540,"Missoula, MT",67070,47830
33660,"Mobile, AL",172550,47000
33700,"Modesto, CA",195230,50610
33740,"Monroe, LA",87500,38150
33780,"Monroe, MI",40740,46240
33860,"Montgomery, AL",165550,44950
34060,"Morgantown, WV",67370,47350
34100,"Morristown, TN",47290,44280
34580,"Mount Vernon-Anacortes, WA",52600,59590
34620,"Muncie, IN",44740,44110
34740,"Muskegon-Norton Shores, MI",62340,46060
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",146260,37930
34900,"Napa, CA",77860,55210
34940,"Naples-Marco Island, FL",173880,47800
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1099300,50390
35300,"New Haven, CT",281410,60060
35380,"New Orleans-Metairie, LA",445550,47290
35620,"New York-Newark-Jersey City, NY-NJ",9492000,61430
35660,"Niles, MI",59970,45980
35840,"North Port-Bradenton-Sarasota, FL",339940,47440
35980,"Norwich-New London-Willimantic, CT",126450,57370
36100,"Ocala, FL",120980,43990
36220,"Odessa, TX",80910,48590
36260,"Ogden, UT",271370,48900
36420,"Oklahoma City, OK",677680,47230
36500,"Olympia-Lacey-Tumwater, WA",130300,61960
36540,"Omaha, NE-IA",498100,49660
36740,"Orlando-Kissimmee-Sanford, FL",1411730,46630
36780,"Oshkosh-Neenah, WI",93750,54060
36980,"Owensboro, KY",49450,44960
37100,"Oxnard-Thousand Oaks-Ventura, CA",323890,52510
37140,"Paducah, KY-IL",50270,45860
37340,"Palm Bay-Melbourne-Titusville, FL",245170,49030
37460,"Panama City-Panama City Beach, FL",90610,45030
37620,"Parkersburg-Vienna, WV",36280,42000
37860,"Pensacola-Ferry Pass-Brent, FL",190480,46240
37900,"Peoria, IL",166020,49590
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2897830,54310
38060,"Phoenix-Mesa-Chandler, AZ",2375760,51380
38240,"Pinehurst-Southern Pines, NC",42900,42920
38300,"Pittsburgh, PA",1114490,49650
38340,"Pittsfield, MA",56810,51860
38540,"Pocatello, ID",38290,45160
38660,"Ponce, PR",63500,26940
38860,"Portland-South Portland, ME",288480,56960
38900,"Portland-Vancouver-Hillsboro, OR-WA",1208410,60690
38940,"Port St. Lucie, FL",170820,46490
39150,"Prescott Valley-Prescott, AZ",72300,46330
39300,"Providence-Warwick, RI-MA",714120,53680
39340,"Provo-Orem-Lehi, UT",304660,48010
39380,"Pueblo, CO",61780,48940
39460,"Punta Gorda, FL",57530,45500
39540,"Racine-Mount Pleasant, WI",76280,48870
39580,"Raleigh-Cary, NC",743120,51990
39660,"Rapid City, SD",73820,46270
39740,"Reading, PA",174670,49440
39820,"Redding, CA",71550,48920
39900,"Reno, NV",275680,49660
40060,"Richmond, VA",660350,51460
40140,"Riverside-San Bernardino-Ontario, CA",1716760,48400
40220,"Roanoke, VA",153980,47140
40340,"Rochester, MN",122980,60620
40380,"Rochester, NY",494280,51210
40420,"Rockford, IL",137650,47120
40580,"Rocky Mount, NC",54630,43960
40660,"Rome, GA",44900,42670
40900,"Sacramento-Roseville-Folsom, CA",1080590,59750
40980,"Saginaw, MI",80000,46200
41060,"St. Cloud, MN",103920,50840
41100,"St. George, UT",90500,45140
41140,"St. Joseph, MO-KS",54390,47350
41180,"St. Louis, MO-IL",1341320,49990
41420,"Salem, OR",188620,55310
41500,"Salinas, CA",186430,47380
41540,"Salisbury, MD",53770,48710
41620,"Salt Lake City-Murray, UT",826210,55240
41660,"San Angelo, TX",49770,43530
41700,"San Antonio-New Braunfels, TX",1126880,47010
41740,"San Diego-Chula Vista-Carlsbad, CA",1538060,58690
41780,"Sandusky, OH",50100,44970
41860,"San Francisco-Oakland-Fremont, CA",2373920,74260
41940,"San Jose-Sunnyvale-Santa Clara, CA",1134970,84050
41980,"San Juan-Bayamon-Caguas, PR",690810,29440
42020,"San Luis Obispo-Paso Robles, CA",122020,50770
42100,"Santa Cruz-Watsonville, CA",98500,54730
42140,"Santa Fe, NM",61770,48710
42200,"Santa Maria-Santa Barbara, CA",200760,51690
42220,"Santa Rosa-Petaluma, CA",205260,56850
42340,"Savannah, GA",198360,47240
42540,"Scranton--Wilkes-Barre, PA",255620,46330
42660,"Seattle-Tacoma-Bellevue, WA",2086210,72610
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",57620,45480
42700,"Sebring, FL",28110,40400
43100,"Sheboygan, WI",60630,51890
43300,"Sherman-Denison, TX",52690,44610
43340,"Shreveport-Bossier City, LA",162750,44820
43420,"Sierra Vista-Douglas, AZ",33970,47050
43580,"Sioux City, IA-NE-SD",75010,47030
43620,"Sioux Falls, SD-MN",178590,47970
43640,"Slidell-Mandeville-Covington, LA",98240,43710
43780,"South Bend-Mishawaka, IN-MI",131670,46540
43900,"Spartanburg, SC",165150,47650
44060,"Spokane-Spokane Valley, WA",255820,54660
44100,"Springfield, IL",100810,52670
44140,"Springfield, MA",201240,51930
44180,"Springfield, MO",223030,45780
44220,"Springfield, OH",45860,45470
44300,"State College, PA",68840,49220
44420,"Staunton-Stuarts Draft, VA",51640,48040
44700,"Stockton-Lodi, CA",289660,48990
44940,"Sumter, SC",34560,42890
45060,"Syracuse, NY",300130,52990
45220,"Tallahassee, FL",186160,46520
45300,"Tampa-St. Petersburg-Clearwater, FL",1447120,48940
45460,"Terre Haute, IN",65120,44870
45500,"Texarkana, TX-AR",57580,43200
45780,"Toledo, OH",291530,48220
45820,"Topeka, KS",115750,49540
45900,"Traverse City, MI",68440,47470
45940,"Trenton-Princeton, NJ",240190,63490
46060,"Tucson, AZ",389630,47760
46140,"Tulsa, OK",458730,46670
46220,"Tuscaloosa, AL",108460,45220
46300,"Twin Falls, ID",50300,45400
46340,"Tyler, TX",115220,42650
46520,"Urban Honolulu, HI",446380,57220
46540,"Utica-Rome, NY",118390,48970
46660,"Valdosta, GA",53890,39110
46700,"Vallejo, CA",144130,58620
47020,"Victoria, TX",38120,43050
47220,"Vineland, NJ",62300,48190
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",763060,49430
47300,"Visalia, CA",171140,45130
47380,"Waco, TX",129860,46020
47460,"Walla Walla, WA",25920,53100
47580,"Warner Robins, GA",76050,48600
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3136190,71060
47930,"Waterbury-Shelton, CT",160710,51440
47940,"Waterloo-Cedar Falls, IA",84260,47430
48060,"Watertown-Fort Drum, NY",39330,47600
48140,"Wausau, WI",69530,48790
48260,"Weirton-Steubenville, WV-OH",36220,45840
48300,"Wenatchee-East Wenatchee, WA",51220,49290
48540,"Wheeling, WV-OH",58130,44250
48620,"Wichita, KS",308570,47630
48660,"Wichita Falls, TX",55550,43210
48680,"Wildwood-The Villages, FL",41300,45830
48700,"Williamsport, PA",49510,46050
48900,"Wilmington, NC",191280,45800
49020,"Winchester, VA-WV",67740,47070
49180,"Winston-Salem, NC",271980,46380
49340,"Worcester, MA",349880,57830
49420,"Yakima, WA",97010,47810
49620,"York-Hanover, PA",183590,48170
49660,"Youngstown-Warren, OH",160160,43800
49700,"Yuba City, CA",51090,49970
49740,"Yuma, AZ",68880,44170
